Num,Acct,Acct1,Type,Date,Num,Name,Memo,Split,Debit,Credit
2883,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Pearl Nickle 5 Light Medium Base (100 watt max),Accounts Receivable,,570.00
2884,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Black Finish Solid Brass Clear Glass Hanging 2-60 watt max.,Accounts Receivable,,84.00
2885,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Beveled Mirror Etched Ribbed Glass (75 watt max),Accounts Receivable,,144.00
2886,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Tiffany CollectionGolden Baroque 1-light lantern medium base (100 watt max),Accounts Receivable,,510.00
2887,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Burnished Brass (60 watt)  w/Golden Umber Accents,Accounts Receivable,,600.00
2888,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Specialty Bulbs 100 watt (6 pack),Accounts Receivable,,55.00
2889,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Pendant Bar Cobblestone 50lbs. max,Accounts Receivable,,50.00
2890,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Verona Collection Pendant Cobblestone Etched Alabaster Glass 150 watt max,Accounts Receivable,,300.00
2891,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Halogen Lamp 20 watts Luminous Intensity,Accounts Receivable,,12.00
2892,Revenue,Total Deborah Wood Equity - Other,Invoice,01/06/2018,71047,Baker's Professional Lighting:Store #25,Cand. Light 20 watts (8 pack),Accounts Receivable,,56.00
2893,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,Pearl Nickle 5 Light Medium Base (100 watt max),Accounts Receivable,,2375.00
2894,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,Roman Bronze 1-light Lantern w/tail (100 watt max),Accounts Receivable,,850.00
2895,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,Flush Mount Polished Brass (2 13 watt)  White acrylic diffuser,Accounts Receivable,,608.00
2896,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,Brushed Nickel Pendant 1-100 watt Medium Base Satin Etched Glass,Accounts Receivable,,660.00
2897,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,Tiffany CollectionGolden Baroque 1-light lantern medium base (100 watt max),Accounts Receivable,,1020.00
2898,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,River Rock (8/60 watt)  Faux Alabaster Glass,Accounts Receivable,,1800.00
2899,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,Specialty Stage & Studio Bulbs  60 watt,Accounts Receivable,,325.00
2900,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,Specialty Bulbs 100 watt (6 pack),Accounts Receivable,,110.00
2901,Revenue,Total Deborah Wood Equity - Other,Invoice,01/14/2018,71050,Godwin Lighting Depot:Store #202,Halogen Lamp 20 watts Luminous Intensity,Accounts Receivable,,38.40
2902,Revenue,Total Deborah Wood Equity - Other,Invoice,01/17/2018,71055,Miscellaneous - Retail:Ms. Jann Minor,Polished Brass Pendant 1-100 watt Medium Base Clear Ribbed Glass,Accounts Receivable,,350.00
2903,Revenue,Total Deborah Wood Equity - Other,Invoice,01/17/2018,71055,Miscellaneous - Retail:Ms. Jann Minor,Pendant Bar Textured White 50lbs max,Accounts Receivable,,50.00
2904,Revenue,Total Deborah Wood Equity - Other,Invoice,01/17/2018,71055,Miscellaneous - Retail:Ms. Jann Minor,Golden Umber (100 watt)  Six Light Chandelier,Accounts Receivable,,315.00
2905,Revenue,Total Deborah Wood Equity - Other,Invoice,01/17/2018,71055,Miscellaneous - Retail:Ms. Jann Minor,Beveled Mirror Etched Ribbed Glass (75 watt max),Accounts Receivable,,144.00
2906,Revenue,Total Deborah Wood Equity - Other,Invoice,01/17/2018,71055,Miscellaneous - Retail:Ms. Jann Minor,Sunset Clear Glass 1-100 watt max.,Accounts Receivable,,140.00
2907,Revenue,Total Deborah Wood Equity - Other,Invoice,01/17/2018,71055,Miscellaneous - Retail:Ms. Jann Minor,Black Finish Solid Brass Hanging w/Clear Glass (2x60watt max),Accounts Receivable,,85.00
2908,Revenue,Total Deborah Wood Equity - Other,Invoice,01/18/2018,71092,Miscellaneous - Retail:Brian Stern,Sunset Clear Glass 1-100 watt max.,Accounts Receivable,,175.00
2909,Revenue,Total Deborah Wood Equity - Other,Invoice,01/18/2018,71092,Miscellaneous - Retail:Brian Stern,Beveled Mirror Etched Ribbed Glass (75 watt max),Accounts Receivable,,144.00
2910,Revenue,Total Deborah Wood Equity - Other,Invoice,01/18/2018,71092,Miscellaneous - Retail:Brian Stern,Athena Collection (100 watt max) Copper Verde Seeded Glass,Accounts Receivable,,225.00
2911,Revenue,Total Deborah Wood Equity - Other,Invoice,01/18/2018,71092,Miscellaneous - Retail:Brian Stern,Burnished Brass (60 watt)  w/Golden Umber Accents,Accounts Receivable,,300.00
2912,Revenue,Total Deborah Wood Equity - Other,Invoice,01/18/2018,71092,Miscellaneous - Retail:Brian Stern,Polished Brass Pendant 1-100 watt Medium Base Clear Ribbed Glass,Accounts Receivable,,232.00
2913,Revenue,Total Deborah Wood Equity - Other,Invoice,01/18/2018,71092,Miscellaneous - Retail:Brian Stern,Pendant Bar Textured White 50lbs max,Accounts Receivable,,50.00
2914,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71053,Miscellaneous - Retail:Alison Johnson,Tapestry (2-60 watt Med) Etched Cracked Glass Finish 10,Accounts Receivable,,90.00
2915,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71053,Miscellaneous - Retail:Alison Johnson,Tapestry (8/60 watt)  Faux Alabaster Glass,Accounts Receivable,,300.00
2916,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71053,Miscellaneous - Retail:Alison Johnson,Vianne Lanterns Satin Antiqued Solid Brass 3-light wall latern Candelabra base (60 watt max),Accounts Receivable,,400.00
2917,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71053,Miscellaneous - Retail:Alison Johnson,White 4.5x7.5 1-100 watt Medium Base Satin White Glass,Accounts Receivable,,64.00
2918,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Die Cast Lanterns Black 1-100 watt Medium Base Clear Cracked Glass,Accounts Receivable,,367.20
2919,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Tapestry (2-60 watt Med) Etched Cracked Glass Finish 10,Accounts Receivable,,243.00
2920,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Pearl Nickle 5 Light Medium Base (100 watt max),Accounts Receivable,,342.00
2921,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Sunset Clear Glass 1-100 watt max.,Accounts Receivable,,126.00
2922,Revenue,Total Deborah Wood Equity - Other,Invoice,01/28/2018,71072,Cole Home Builders:Phase 2 - Lot 5,Black Finish Solid Brass Clear Glass Hanging 2-60 watt max.,Accounts Receivable,,113.40
